Polygon,Grid_ID
"POLYGON ((121.1636363636364 14.62727272727273, 121.1681408681409 14.62727272727273, 121.1681408681409 14.63177723177723, 121.1636363636364 14.63177723177723, 121.1636363636364 14.62727272727273))",128
"POLYGON ((121.1636363636364 14.63181818181818, 121.1681408681409 14.63181818181818, 121.1681408681409 14.63632268632269, 121.1636363636364 14.63632268632269, 121.1636363636364 14.63181818181818))",129
"POLYGON ((121.1636363636364 14.63636363636364, 121.1681408681409 14.63636363636364, 121.1681408681409 14.64086814086814, 121.1636363636364 14.64086814086814, 121.1636363636364 14.63636363636364))",130
"POLYGON ((121.1636363636364 14.64090909090909, 121.1681408681409 14.64090909090909, 121.1681408681409 14.6454135954136, 121.1636363636364 14.6454135954136, 121.1636363636364 14.64090909090909))",131
"POLYGON ((121.1636363636364 14.64545454545455, 121.1681408681409 14.64545454545455, 121.1681408681409 14.64995904995905, 121.1636363636364 14.64995904995905, 121.1636363636364 14.64545454545455))",132
"POLYGON ((121.1636363636364 14.65, 121.1681408681409 14.65, 121.1681408681409 14.65450450450451, 121.1636363636364 14.65450450450451, 121.1636363636364 14.65))",133
"POLYGON ((121.1636363636364 14.65454545454545, 121.1681408681409 14.65454545454545, 121.1681408681409 14.65904995904996, 121.1636363636364 14.65904995904996, 121.1636363636364 14.65454545454545))",134
"POLYGON ((121.1636363636364 14.65909090909091, 121.1681408681409 14.65909090909091, 121.1681408681409 14.66359541359541, 121.1636363636364 14.66359541359541, 121.1636363636364 14.65909090909091))",135
"POLYGON ((121.1681818181818 14.57272727272727, 121.1726863226863 14.57272727272727, 121.1726863226863 14.57723177723178, 121.1681818181818 14.57723177723178, 121.1681818181818 14.57272727272727))",136
"POLYGON ((121.1681818181818 14.57727272727273, 121.1726863226863 14.57727272727273, 121.1726863226863 14.58177723177723, 121.1681818181818 14.58177723177723, 121.1681818181818 14.57727272727273))",137
"POLYGON ((121.1681818181818 14.58181818181818, 121.1726863226863 14.58181818181818, 121.1726863226863 14.58632268632269, 121.1681818181818 14.58632268632269, 121.1681818181818 14.58181818181818))",138
"POLYGON ((121.1681818181818 14.58636363636364, 121.1726863226863 14.58636363636364, 121.1726863226863 14.59086814086814, 121.1681818181818 14.59086814086814, 121.1681818181818 14.58636363636364))",139
"POLYGON ((121.1681818181818 14.59090909090909, 121.1726863226863 14.59090909090909, 121.1726863226863 14.5954135954136, 121.1681818181818 14.5954135954136, 121.1681818181818 14.59090909090909))",140
"POLYGON ((121.1681818181818 14.59545454545455, 121.1726863226863 14.59545454545455, 121.1726863226863 14.59995904995905, 121.1681818181818 14.59995904995905, 121.1681818181818 14.59545454545455))",141
"POLYGON ((121.1681818181818 14.6, 121.1726863226863 14.6, 121.1726863226863 14.6045045045045, 121.1681818181818 14.6045045045045, 121.1681818181818 14.6))",142
"POLYGON ((121.1681818181818 14.60454545454546, 121.1726863226863 14.60454545454546, 121.1726863226863 14.60904995904996, 121.1681818181818 14.60904995904996, 121.1681818181818 14.60454545454546))",143
"POLYGON ((121.1681818181818 14.60909090909091, 121.1726863226863 14.60909090909091, 121.1726863226863 14.61359541359541, 121.1681818181818 14.61359541359541, 121.1681818181818 14.60909090909091))",144
"POLYGON ((121.1681818181818 14.61363636363636, 121.1726863226863 14.61363636363636, 121.1726863226863 14.61814086814087, 121.1681818181818 14.61814086814087, 121.1681818181818 14.61363636363636))",145
"POLYGON ((121.1681818181818 14.61818181818182, 121.1726863226863 14.61818181818182, 121.1726863226863 14.62268632268632, 121.1681818181818 14.62268632268632, 121.1681818181818 14.61818181818182))",146
"POLYGON ((121.1681818181818 14.62272727272727, 121.1726863226863 14.62272727272727, 121.1726863226863 14.62723177723178, 121.1681818181818 14.62723177723178, 121.1681818181818 14.62272727272727))",147
"POLYGON ((121.1681818181818 14.62727272727273, 121.1726863226863 14.62727272727273, 121.1726863226863 14.63177723177723, 121.1681818181818 14.63177723177723, 121.1681818181818 14.62727272727273))",148
"POLYGON ((121.1681818181818 14.63181818181818, 121.1726863226863 14.63181818181818, 121.1726863226863 14.63632268632269, 121.1681818181818 14.63632268632269, 121.1681818181818 14.63181818181818))",149
"POLYGON ((121.1681818181818 14.63636363636364, 121.1726863226863 14.63636363636364, 121.1726863226863 14.64086814086814, 121.1681818181818 14.64086814086814, 121.1681818181818 14.63636363636364))",150
