index,geometry,road_distance
493,POINT (121.4031490403781 15.56202958759523),
494,POINT (121.4031490403781 15.57211387157454),
495,POINT (121.4031490403781 15.58219815555386),
496,POINT (121.4031490403781 15.59228243953317),
497,POINT (121.4031490403781 15.60236672351249),
498,POINT (121.4031490403781 15.6124510074918),
499,POINT (121.4031490403781 15.62253529147111),
500,POINT (121.4031490403781 15.63261957545043),
503,POINT (121.4031490403781 15.66287242738837),
504,POINT (121.4031490403781 15.67295671136768),
505,POINT (121.4031490403781 15.683040995347),0.0546074997257073
506,POINT (121.4031490403781 15.69312527932631),
507,POINT (121.4031490403781 15.70320956330563),
508,POINT (121.4031490403781 15.71329384728494),
509,POINT (121.4031490403781 15.72337813126425),
510,POINT (121.4031490403781 15.73346241524357),
511,POINT (121.4031490403781 15.74354669922288),
513,POINT (121.4031490403781 15.76371526718151),
515,POINT (121.4031490403781 15.78388383514014),
516,POINT (121.4031490403781 15.79396811911945),
517,POINT (121.4031490403781 15.80405240309877),
518,POINT (121.4031490403781 15.81413668707808),
522,POINT (121.4031490403781 15.85447382299534),
523,POINT (121.4031490403781 15.86455810697465),
524,POINT (121.4132678752045 15.21916393229855),
525,POINT (121.4132678752045 15.38051247596758),
526,POINT (121.4132678752045 15.39059675994689),
527,POINT (121.4132678752045 15.40068104392621),
528,POINT (121.4132678752045 15.41076532790552),
529,POINT (121.4132678752045 15.42084961188483),
530,POINT (121.4132678752045 15.43093389586415),
531,POINT (121.4132678752045 15.44101817984346),
532,POINT (121.4132678752045 15.45110246382278),
533,POINT (121.4132678752045 15.46118674780209),
534,POINT (121.4132678752045 15.4712710317814),
535,POINT (121.4132678752045 15.48135531576072),
536,POINT (121.4132678752045 15.49143959974003),
537,POINT (121.4132678752045 15.50152388371935),
538,POINT (121.4132678752045 15.51160816769866),
539,POINT (121.4132678752045 15.52169245167797),
540,POINT (121.4132678752045 15.53177673565729),
541,POINT (121.4132678752045 15.5418610196366),
542,POINT (121.4132678752045 15.55194530361592),
543,POINT (121.4132678752045 15.56202958759523),
544,POINT (121.4132678752045 15.57211387157454),
545,POINT (121.4132678752045 15.58219815555386),
546,POINT (121.4132678752045 15.59228243953317),
547,POINT (121.4132678752045 15.60236672351249),
548,POINT (121.4132678752045 15.6124510074918),
549,POINT (121.4132678752045 15.62253529147111),
552,POINT (121.4132678752045 15.65278814340906),
553,POINT (121.4132678752045 15.66287242738837),
554,POINT (121.4132678752045 15.67295671136768),0.004908345294632967
555,POINT (121.4132678752045 15.683040995347),
556,POINT (121.4132678752045 15.69312527932631),
557,POINT (121.4132678752045 15.70320956330563),
558,POINT (121.4132678752045 15.71329384728494),
559,POINT (121.4132678752045 15.72337813126425),
560,POINT (121.4132678752045 15.73346241524357),
563,POINT (121.4132678752045 15.76371526718151),
565,POINT (121.4132678752045 15.78388383514014),
566,POINT (121.4132678752045 15.79396811911945),
567,POINT (121.4132678752045 15.80405240309877),
568,POINT (121.4132678752045 15.81413668707808),
569,POINT (121.4132678752045 15.82422097105739),
572,POINT (121.4132678752045 15.85447382299534),
573,POINT (121.4132678752045 15.86455810697465),
574,POINT (121.4233867100309 15.38051247596758),
575,POINT (121.4233867100309 15.39059675994689),
576,POINT (121.4233867100309 15.40068104392621),
577,POINT (121.4233867100309 15.41076532790552),
578,POINT (121.4233867100309 15.42084961188483),
579,POINT (121.4233867100309 15.43093389586415),
580,POINT (121.4233867100309 15.44101817984346),
581,POINT (121.4233867100309 15.45110246382278),
582,POINT (121.4233867100309 15.46118674780209),
583,POINT (121.4233867100309 15.4712710317814),
584,POINT (121.4233867100309 15.48135531576072),
585,POINT (121.4233867100309 15.49143959974003),
586,POINT (121.4233867100309 15.50152388371935),
587,POINT (121.4233867100309 15.51160816769866),
588,POINT (121.4233867100309 15.52169245167797),
589,POINT (121.4233867100309 15.53177673565729),
590,POINT (121.4233867100309 15.5418610196366),
591,POINT (121.4233867100309 15.55194530361592),
592,POINT (121.4233867100309 15.56202958759523),
593,POINT (121.4233867100309 15.57211387157454),
594,POINT (121.4233867100309 15.58219815555386),
595,POINT (121.4233867100309 15.59228243953317),
596,POINT (121.4233867100309 15.60236672351249),
597,POINT (121.4233867100309 15.6124510074918),
600,POINT (121.4233867100309 15.64270385942974),
601,POINT (121.4233867100309 15.65278814340906),
602,POINT (121.4233867100309 15.66287242738837),
603,POINT (121.4233867100309 15.67295671136768),
604,POINT (121.4233867100309 15.683040995347),
605,POINT (121.4233867100309 15.69312527932631),
606,POINT (121.4233867100309 15.70320956330563),
607,POINT (121.4233867100309 15.71329384728494),
608,POINT (121.4233867100309 15.72337813126425),
609,POINT (121.4233867100309 15.73346241524357),
614,POINT (121.4233867100309 15.78388383514014),
615,POINT (121.4233867100309 15.79396811911945),
616,POINT (121.4233867100309 15.80405240309877),
617,POINT (121.4233867100309 15.81413668707808),
618,POINT (121.4233867100309 15.82422097105739),
621,POINT (121.4233867100309 15.85447382299534),
622,POINT (121.4233867100309 15.86455810697465),
623,POINT (121.4233867100309 15.87464239095396),
624,POINT (121.4335055448573 15.39059675994689),
625,POINT (121.4335055448573 15.40068104392621),
626,POINT (121.4335055448573 15.41076532790552),
627,POINT (121.4335055448573 15.42084961188483),
628,POINT (121.4335055448573 15.43093389586415),
629,POINT (121.4335055448573 15.44101817984346),
630,POINT (121.4335055448573 15.45110246382278),
631,POINT (121.4335055448573 15.46118674780209),
632,POINT (121.4335055448573 15.4712710317814),
633,POINT (121.4335055448573 15.48135531576072),
634,POINT (121.4335055448573 15.49143959974003),
635,POINT (121.4335055448573 15.50152388371935),
636,POINT (121.4335055448573 15.51160816769866),
637,POINT (121.4335055448573 15.52169245167797),
638,POINT (121.4335055448573 15.53177673565729),
639,POINT (121.4335055448573 15.5418610196366),
640,POINT (121.4335055448573 15.55194530361592),
641,POINT (121.4335055448573 15.56202958759523),
642,POINT (121.4335055448573 15.57211387157454),
643,POINT (121.4335055448573 15.58219815555386),
644,POINT (121.4335055448573 15.59228243953317),
